Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"The Amazing Spider-Man, Vol. 1",362A,"Carnage, Part 2: Savage Alliance!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1992","BC RAW 02","Apr 30, 1992",1992,Carnage,,"Part 2: Savage Alliance!",A,,No,,,,1992,,"Spider-Man (Peter Parker) | Human Torch (Jonathan 'Johnny' Storm) | J. Jonah Jameson Jr.","Renee Witterstaetter | Bob Sharen","Mark Bagley","Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Joe Rosen | Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",363,"Carnage, Carnage, pt 3","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jun 1992","BC RAW 02","May 31, 1992",1992,Carnage,,"Carnage, pt 3",,,No,,,,1992,,,,,,,,,,,,,,,,,,,,,,
"The Amazing Spider-Man, Vol. 1",365,"Fathers and Sins, 30th Anniversary","Action | Adventure | Super-Heroes","First Printing - Hologram Cover","Marvel Comics","Aug 1992",L01,"Aug 1992",1992,"Fathers and Sins",,"30th Anniversary",,,No,,,,1992,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen | Kevin Tinsley | Joe Rosas","John Romita Sr.",,,,,,"David Michelinie | Peter David | Tod Smith","Danny Fingeroth | Joey Cavalieri | Eric Fein","Tom DeFalco","Randy Emberlin | Al Williamson | Andrew Pepoy | Aaron Lopresti",,"Jonathan Babcock | Dave Sharpe | Rick Parker | Chris Eliopoulos",,"Tod Smith | Rick Leonardi | Aaron Lopresti | Mark Bagley",,,,,"David Michelinie | Peter David"
"The Amazing Spider-Man, Vol. 1",366,Skullwork!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 1992",L01,"Sep 1992",1992,,,Skullwork!,,,No,,,,1992,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | J. Jonah Jameson Jr.","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Jerry Bingham | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Joe Rosen",,"Jerry Bingham",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",370,"Invasion of the Spider-Slayers, Part 3: Life Stings!; The Web","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Dec 1992",L01,"Dec 1992",1992,"Invasion of the Spider-Slayers",,"Part 3: Life Stings!; The Web",,,No,,,0092810245713,1992,"Aaron Lopresti","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Mark Bagley",,"Randy Emberlin",,"Mark Bagley",,"David Michelinie | J.M. DeMatteis | Aaron Lopresti","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Aaron Lopresti",,"Joe Rosen | Dave Sharpe",,"Aaron Lopresti | Mark Bagley",,,,,"David Michelinie | J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",371,"Invasion of the Spider-Slayers, Part 4: One Clue Over the Cuckoo's Nest","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Dec 1992",L01,"Dec 1992",1992,"Invasion of the Spider-Slayers",,"Part 4: One Clue Over the Cuckoo's Nest",,,No,,,,1992,,"Spider-Man (Peter Parker) | Black Cat (Felicia Hardy) | Mary Jane Watson","Marie Javins | Bob Sharen","Mark Bagley",,"Randy Emberlin",,"Mark Bagley",,"David Michelinie | Al Milgrom | Aaron Lopresti","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Don Hudson",,"Jonathan Babcock | Richard Starkings",,"Aaron Lopresti | Mark Bagley",,,,,"David Michelinie | Al Milgrom"
"The Amazing Spider-Man, Vol. 1",372,"Invasion of the Spider-Slayers, Part 5: Arachnophobia Too!; Punch... Counter-Punch","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jan 1993",L01,"Jan 1993",1993,"Invasion of the Spider-Slayers",,"Part 5: Arachnophobia Too!; Punch... Counter-Punch",,,No,,,75960602457537211,1993,,"Spider-Man (Peter Parker) | May Parker | Black Cat (Felicia Hardy)","Bob Sharen","Mark Bagley",,"Randy Emberlin",,"Mark Bagley",,"David Michelinie | Al Milgrom | Aaron Lopresti","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Mark Stegbauer",,"Steve Dutro | Richard Starkings",,"Aaron Lopresti | Mark Bagley",,,,,"David Michelinie | Al Milgrom"
"The Amazing Spider-Man, Vol. 1",373,"Invasion of the Spider-Slayers, Part 6: The Bedlam Perspective; The Getaway Scream!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jan 1993",L01,"Jan 1993",1993,"Invasion of the Spider-Slayers",,"Part 6: The Bedlam Perspective; The Getaway Scream!",,,No,,,75960602457537311,1993,"Tod Smith","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Mark Bagley","Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Tod Smith | Mark Bagley","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Tod Smith",,"Richard Starkings",,"Mark Bagley | Tod Smith",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",374,"Murder on Parade","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1992",L01,"Dec 08, 1992",1992,,,"Murder on Parade",,,No,,,75960602457537411,1992,,"Ben Urich | Joy Mercado | Venom (Eddie Brock)","Bob Sharen","Mark Bagley","Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Steve Dutro",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",375,"The Bride Of Venom / True Friends / The Monster Within / Echoes","Action | Adventure | Super-Heroes","30th Anniversary Gold Holofoil Cover","Marvel Comics","Mar 1993",L01,"Jan 12, 1993",1993,,,"The Bride Of Venom / True Friends / The Monster Within / Echoes",,,No,,,75960602457537511,1993,"Dan Panosian","Spider-Man (Peter Parker) | The Thing (Benjamin J. Grimm) | Mr. Fantastic (Reed Richards)","Renee Witterstaetter | Tom Smith | Bob Sharen",,,"Randy Emberlin",,"Mark Bagley",,"Eric Fein | Terry Kavanagh | Tom DeFalco","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Mark McKenna | Don Hudson",,"Richard Starkings | Jonathan Babcock | Rick Parker | Dave Sharpe | Joe Rosen",,"Aaron Lopresti | Mark Bagley | Patrick Olliffe",,,,,"Eric Fein | Terry Kavanagh | Tom DeFalco | David Michelinie"
"The Amazing Spider-Man, Vol. 1",376,"Guilt By Association","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1993",L01,"Apr 1993",1993,,,"Guilt By Association",,,No,,,75960602457537611,1993,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Cardiac (Elias Wirtham)","Kevin Tinsley | Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"Steven Grant | David Michelinie | Jeff Johnson","Danny Fingeroth","Tom DeFalco","Dan Panosian | Al Milgrom",,"Rick Parker",,"Jeff Johnson",,,,,"Steven Grant | David Michelinie"
"The Amazing Spider-Man, Vol. 1",377,"Dust to Dust","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1993",L01,"May 1993",1993,,,"Dust to Dust",,,No,,,75960602457537711,1993,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Joseph 'Robbie' Robertson","Bob Sharen",,,"Randy Emberlin",,"Mark Bagley",,"Steven Grant | David Michelinie | Jeff Johnson","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Jeff Johnson",,,,,"Steven Grant | David Michelinie"
"The Amazing Spider-Man, Vol. 1",378,"Maximum Carnage - Maximum Carnage, pt 3","Action | Adventure | Super-Heroes",,"Marvel Comics","Jun 1993","BC SETS 01","Apr 13, 1993",1993,,,"Maximum Carnage, pt 3",,1.25,No,,,75960602457537811,1993,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Venom (Eddie Brock)","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",379,"Maximum Carnage - Maximum Carnage, pt 7","Action | Adventure | Super-Heroes",,"Marvel Comics","Jul 1993","BC SETS 01","May 11, 1993",1993,,,"Maximum Carnage, pt 7",,1.25,No,,,75960602457537911,1993,,,,,,,,,,,,,,,,,,,,,,
"The Amazing Spider-Man, Vol. 1",380,"Maximum Carnage - Maximum Carnage, pt 11","Action | Adventure | Super-Heroes",,"Marvel Comics","Aug 1993","BC SETS 01","Jun 08, 1993",1993,,,"Maximum Carnage, pt 11",,1.25,No,,,75960602457538011,1993,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Mary Jane Watson-Parker","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",381,"Samson Unleashed","Action | Adventure | Super-Heroes",,"Marvel Comics","Sep 1993",L01,"Sep 1993",1993,,,"Samson Unleashed",,1.25,No,,,75960602457538111,1993,,"Spider-Man (Peter Parker) | Hulk (Robert Bruce Banner) | Mary Jane Watson-Parker","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin | Al Milgrom",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",382,"Emerald Rage!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Oct 1993",L01,"Oct 1993",1993,,,"Emerald Rage!",,,No,,,75960602457538211,1993,,"Spider-Man (Peter Parker) | Hulk (Robert Bruce Banner) | Mary Jane Watson-Parker","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",392,"Shrieking, Part Three","Action | Adventure | Super-Heroes",,"Marvel Comics","Aug 1994",L01,"Jun 14, 1994",1994,Shrieking,,"Part Three",,1.50,No,,,75960602457539211,1994,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"J.M. DeMatteis | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Joe Rosen",,"Mark Bagley",,,,,"J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",394B,"Power and Responsibility - Power and Responsibility, pt 2","Action | Adventure | Super-Heroes","Foil Stamped Cover","Marvel Comics","Oct 1994",L01,"Aug 09, 1994",1994,,,"Power and Responsibility, pt 2",B,2.95,No,,,75960602457539411,1994,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | John Jameson","John Kalisz | Bob Sharen",,,"Larry Mahlstedt",,"Mark Bagley",,"J.M. DeMatteis | Mark Bagley | Liam Sharp","Danny Fingeroth","Tom DeFalco","Larry Mahlstedt | Robin Riggs",,"Steve Dutro | Joe Rosen",,"Mark Bagley | Liam Sharp",,,,,"J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",398,"Web of Death - Web of Death, Part Three: Before I Wake","Action | Adventure | Super-Heroes",,"Marvel Comics","Feb 1995",L01,"Dec 13, 1994",1994,"Web of Death",,"Part Three: Before I Wake",,,No,,,75960602457539811,1995,"Mark Bagley","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen",,"Bob Sharen","Larry Mahlstedt",,"Mark Bagley",,"J.M. DeMatteis | Mark Bagley | Larry Mahlstedt","Danny Fingeroth | Tom DeFalco","Tom DeFalco","Larry Mahlstedt",,"Bill Oakley",,"Mark Bagley",,,,,"J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",404,"Maximum Clonage - Part 3: in the Name of the Father","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Aug 1995",L01,"Jun 10, 1995",1995,,,"Part 3: in the Name of the Father",,,No,,,75960602457540411,1995,,"Spider-Man (Peter Parker) | Jackal (Miles Warren) | Kaine (Peter Parker (Clone))","Bob Sharen",,"Bob Sharen","Larry Mahlstedt",,"Mark Bagley",,"J.M. DeMatteis | Mark Bagley | Randy Emberlin","Danny Fingeroth","Bob Budiansky","Randy Emberlin | Larry Mahlstedt | Joe Rubinstein",,"Bill Oakley",,"Mark Bagley","J.M. DeMatteis","Todd DeZago",,,"J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",419,"Beware the Black Tarantula!","Action | Adventure | Super-Heroes",,"Marvel Comics","Jan 1997",L01,"Jan 1997",1997,,,"Beware the Black Tarantula!",,1.50,No,,,75960602457541911,1997,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Joseph 'Robbie' Robertson","Bob Sharen",,"Bob Sharen","Bud LaRosa",,"Steve Skroce",,"Tom DeFalco | Steve Skroce | Bud LaRosa","Ralph Macchio","Robert Harras","Bud LaRosa",,"Comicraft | Liz Agraphiotis | Richard Starkings",,"Steve Skroce",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 1",432A,"Spiderhunt - Spiderhunt, pt 2","Action | Adventure | Super-Heroes","Regular Cover","Marvel Comics","Mar 1998",L01,"Mar 1998",1998,,,"Spiderhunt, pt 2",A,1.99,No,,,75960602457543211,1998,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen",,,"Bud LaRosa",,"John Romita Jr.",,"Tom DeFalco | John Romita Jr. | Bud LaRosa","Ralph Macchio","Robert Harras","Bud LaRosa",,"Kiff Scholl | Comicraft | Richard Starkings",,"John Romita Jr.",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 1 Annual",12,"The Gentleman's Name is... Hulk!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Aug 1978",L01,"Aug 1978",1978,,,"The Gentleman's Name is... Hulk!",,0.60,No,,,071486029212,1978,,"Spider-Man (Peter Parker) | Hulk (Robert Bruce Banner) | J. Jonah Jameson Jr.","Stan Goldberg | Andrea Hunt","John Byrne",,,,,,"Gerry Conway | Gil Kane | Paul Reinman","Marv Wolfman",,"Tony Mortellaro | John Romita Sr.",,"John Costanza | Artie Simek",,"Gil Kane | Paul Reinman | John Romita Sr.",,,,,"Gerry Conway"
"The Amazing Spider-Man, Vol. 1 Annual",27B,"Prepare Yourself For...Annex","Action | Adventure | Super-Heroes","Sealed - Collector card","Marvel Comics",1993,L01,"May 1993",1993,,,"Prepare Yourself For...Annex",B,2.95,No,,,,1993,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","John Kalisz | Rob Tokar | Bob Sharen | Renee Witterstaetter","Tom Lyle",,,,,,"Jack C. Harris | Mike Lackey | Eric Fein","Danny Fingeroth","Tom DeFalco","Scott Hanna | Bud LaRosa | Andy Mushynsky",,"Joe Rosen | Dave Sharpe | Richard Starkings",,"Scott Kolins | Tom Lyle | Larry Alexander | Aaron Lopresti",,,,,"Jack C. Harris | Mike Lackey | Eric Fein"
"The Amazing Spider-Man, Vol. 1 Annual",31/1998,"Duel with Devil Dinosaur","Action | Adventure | Super-Heroes","Annual 1998","Marvel Comics",1998,L01,"Nov 30, 1997",1997,,,"Duel with Devil Dinosaur",/1998,2.99,No,,,759606044917,1998,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Devil Dinosaur","Mike Rockwitz","Tony Salmons",,,,,,"Tom DeFalco | Tom Lyle | Rob Jones","Ralph Macchio","Robert Harras","Rob Jones",,"Dave Sharpe",,"Tom Lyle",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 2",525A,"Spider-Man: The Other - The Other: Evolve or Die, Part 3: Rage","Action | Adventure | Super-Heroes","Mike Deodato Jr. Regular Cover","Marvel Comics","Dec 2005",L01a,"Dec 2005",2005,"The Other: Evolve or Die",,"Part 3: Rage",A,,No,,,75960604716152511,2005,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Matt Milla","Mike Deodato Jr.",,,,,,"Peter David | Mike Deodato Jr. | Jose Pimentel","Tom Brevoort | Warren Simons | Axel Alonso","Joe Quesada","Jose Pimentel",,"Cory Petit",,"Mike Deodato Jr.",,,,,"Peter David"
"The Amazing Spider-Man, Vol. 2",526A,"Spider-Man: The Other - The Other: Evolve or Die, Part 6: Reckoning","Action | Adventure | Super-Heroes","Mike Deodato Jr. Regular Cover","Marvel Comics","Jan 2006",L01a,"Jan 2006",2006,"The Other: Evolve or Die",,"Part 6: Reckoning",A,,No,,,75960604716152611,2006,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Matt Milla","Mike Deodato Jr.","Rainier Beredo",,,,,"Reginald Hudlin | Mike Deodato Jr. | Jose Pimentel","Axel Alonso","Joe Quesada","Jose Pimentel",,"Cory Petit",,"Mike Deodato Jr.",,,,,"Reginald Hudlin"
"The Amazing Spider-Man, Vol. 2",527A,"Spider-Man: The Other - The Other: Evolve or Die, Part 9: Evolution","Action | Adventure | Super-Heroes","Mike Deodato Jr. Regular Cover","Marvel Comics","Feb 2006",L01a,"Feb 2006",2006,"The Other: Evolve or Die",,"Part 9: Evolution",A,,No,,,75960604716152711,2006,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Iron Man (Anthony 'Tony' Stark)","Matt Milla","Mike Deodato Jr.","Rainier Beredo",,,,,"J. Michael Straczynski | Mike Deodato Jr. | Jose Pimentel","Axel Alonso","Joe Quesada","Jose Pimentel",,"Cory Petit",,"Mike Deodato Jr.",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",528A,"Spider-Man: The Other - The Other: Evolve or Die, Part 12: Post Mortem","Action | Adventure | Super-Heroes","Mike Deodato Jr. Regular Cover","Marvel Comics","Mar 2006",L01a,"Mar 2006",2006,"The Other: Evolve or Die",,"Part 12: Post Mortem",A,,No,,,75960604716152811,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mary Jane Watson-Parker","Matt Milla","Mike Deodato Jr.","Rainier Beredo",,,,,"J. Michael Straczynski | Mike Deodato Jr. | Jose Pimentel","Tom Brevoort | Axel Alonso","Joe Quesada","Jose Pimentel",,"Cory Petit",,"Mike Deodato Jr.",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",529A,"The Road to Civil War - Mr. Parker Goes to Washington, Mr. Parker Goes to Washington: Part One of Three","Action | Adventure | Super-Heroes","Bryan Hitch Regular Cover","Marvel Comics","Apr 2006",L01a,"Apr 2006",2006,"Mr. Parker Goes to Washington",,"Mr. Parker Goes to Washington: Part One of Three",A,,No,,,75960604716152911,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mary Jane Watson-Parker","Matt Milla","Bryan Hitch",,,,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Warren Simons | Axel Alonso","Joe Quesada","Bill Reinhold",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",530,"The Road to Civil War - Mr. Parker Goes to Washington, Part 2","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 2006",L01a,"May 2006",2006,"Mr. Parker Goes to Washington",,"Part 2",,,No,,,75960604716153011,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mr. Fantastic (Reed Richards)","John Starr","Ron Garney",,,,,,"J. Michael Straczynski | Tyler Kirkham | Jay Leisten","Axel Alonso","Joe Quesada","Jay Leisten",,"Cory Petit",,"Tyler Kirkham",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",531,"The Road to Civil War - Mr. Parker Goes to Washington, Part 3","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jun 2006",L01a,"Jun 2006",2006,"Mr. Parker Goes to Washington",,"Part 3",,,No,,,75960604716153111,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mary Jane Watson-Parker","John Starr","Ron Garney",,,,,,"J. Michael Straczynski | Tyler Kirkham | Jay Leisten","Axel Alonso","Joe Quesada","Jay Leisten",,"Cory Petit",,"Tyler Kirkham",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",532A,"Civil War - The War At Home, Part 1","Action | Adventure | Super-Heroes","Ron Garney Regular Cover","Marvel Comics","Jul 2006",L01a,"Jul 2006",2006,"The War At Home",,"Part 1",A,,No,,,75960604716153211,2006,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Iron Man (Anthony 'Tony' Stark)","Matt Milla","Ron Garney",,,,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Axel Alonso","Joe Quesada","Bill Reinhold",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",533A,"Civil War - The War at Home, Part 2: The Night the War Came Home","Action | Adventure | Super-Heroes","Ron Garney Regular Cover","Marvel Comics","Aug 2006",L01a,"Aug 2006",2006,"The War at Home",,"Part 2: The Night the War Came Home",A,,No,,,75960604716153311,2006,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Iron Man (Anthony 'Tony' Stark)","Matt Milla","Ron Garney",,,,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Axel Alonso","Joe Quesada","Bill Reinhold",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",534,"Civil War - The War at Home, Part 3","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 2006",L01a,"Sep 2006",2006,"The War at Home",,"Part 3",,,No,,,75960604716153411,2006,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Iron Man (Anthony 'Tony' Stark)","Matt Milla","Ron Garney",,,,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Axel Alonso","Joe Quesada","Bill Reinhold",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",535,"Civil War - The War At Home, Part 4","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 2006",L01a,"Oct 2006",2006,"The War At Home",,"Part 4",,,No,,,75960604716153511,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mr. Fantastic (Reed Richards)","Matt Milla","Ron Garney","Matt Milla","Bill Reinhold",,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Axel Alonso","Joe Quesada","Bill Reinhold | Jose Pimentel",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
"The Amazing Spider-Man, Vol. 2",536,"Civil War - The War at Home, Part 5","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 2006",L01a,"Nov 2006",2006,"The War at Home",,"Part 5",,,No,,,75960604716153611,2006,,"Spider-Man (Peter Parker) | Iron Man (Anthony 'Tony' Stark) | Mary Jane Watson-Parker","Matt Milla","Ron Garney","Matt Milla","Bill Reinhold",,,,"J. Michael Straczynski | Ron Garney | Bill Reinhold","Axel Alonso","Joe Quesada","Bill Reinhold",,"Cory Petit",,"Ron Garney",,,,,"J. Michael Straczynski"
